MCEID;CENTREID;MCE_TYPE;USE_RAND36;USE_HONOS;USE_HONOSCA;MCE_STATUS;MCE_UPDATEDBY;MCE_UPDATED;HAS_END_REG;CONTROL_DATE;MCE_COMMENT;PATREG_COMPLETE;MCE_COMPLETE;THERREG_COMPLETE;PATIENT_ID;SSN;LASTNAME;FIRSTNAME;GENDER;AGE;PB_STATUS;PB_UPDATED;PB_UPDATEDBY;PB_COMMENT;EDEQ60_STATUS;EDEQ60_UPDATED;EDEQ60_UPDATEDBY;EDEQ60_COMMENT;SDQ_STATUS;SDQ_UPDATED;SDQ_UPDATEDBY;SDQ_COMMENT;SDQPARENT_STATUS;SDQPARENT_UPDATED;SDQPARENT_UPDATEDBY;SDQPARENT_COMMENT;HONOS_STATUS;HONOS_UPDATED;HONOS_UPDATEDBY;HONOS_COMMENT;HONOSCA_STATUS;HONOSCA_UPDATED;HONOSCA_UPDATEDBY;HONOSCA_COMMENT;CIA30_STATUS;CIA30_UPDATED;CIA30_UPDATEDBY;CIA30_COMMENT;RAND36_STATUS;RAND36_UPDATED;RAND36_UPDATEDBY;RAND36_COMMENT;SCL90_STATUS;SCL90_UPDATED;SCL90_UPDATEDBY;SCL90_COMMENT;DIAG_STATUS;DIAG_UPDATED;DIAG_UPDATEDBY;DIAG_COMMENT;BUPDIAG_STATUS;BUPDIAG_UPDATED;BUPDIAG_UPDATEDBY;BUPDIAG_COMMENT;MEDINF_STATUS;MEDINF_UPDATED;MEDINF_UPDATEDBY;MEDINF_COMMENT;PASOPP_STATUS;PASOPP_UPDATED;PASOPP_UPDATEDBY;PASOPP_COMMENT;PATEVAL_STATUS;PATEVAL_UPDATED;PATEVAL_UPDATEDBY;PATEVAL_COMMENT;KIDSCREEN_STATUS;KIDSCREEN_UPDATED;KIDSCREEN_UPDATEDBY;KIDSCREEN_COMMENT;INTERVENTION_STATUS;INTERVENTION_UPDATED;INTERVENTION_UPDATEDBY;INTERVENTION_COMMENT
5;TESTNO;4;TRUE;TRUE;TRUE;1;CC;'2016-04-25 10:52:20';1;'2016-04-20';;0;0;0;4;3TV7FcDYt30=;VSwv+plDueI=;3FoYGUiTkl8=;2;17;1;'2016-04-26 10:50:44';CC;;1;'2016-04-26 10:55:25';CC;;1;'2016-04-26 10:52:24';CC;;;;;;;;;;1;'2016-04-26 10:57:29';CC;;1;'2016-04-26 10:56:06';CC;;;;;;;;;;;;;;;;;;0;'2016-04-26 10:56:40';CC;;;;;;;;;;0;'2016-05-11 15:48:35';LC;11;;;;
6;TESTNO;6;TRUE;TRUE;TRUE;0;CC;'2016-04-26 10:58:16';0;'2016-04-26';;-1;-1;0;4;3TV7FcDYt30=;VSwv+plDueI=;3FoYGUiTkl8=;2;17;;;;;1;'2016-04-26 11:07:46';CC;;1;'2016-04-26 10:59:52';CC;;;;;;;;;;1;'2016-04-29 10:07:19';CC;;1;'2016-04-26 11:08:25';CC;;;;;;;;;;;;;;0;;;;0;'2016-04-26 11:09:46';CC;;1;'2016-04-26 11:09:15';CC;;-1;;;;0;'2016-05-25 10:25:28';LC;2;0;'2016-07-11 08:43:50';LU;
7;TESTNO;4;TRUE;TRUE;TRUE;1;LC;'2016-04-25 13:48:28';0;'2016-04-20';;-1;-1;0;5;ITPDEX33umM=;pkAmRMv5kGE=;3Nb1loECABc=;1;16;1;'2016-04-26 10:40:54';CC;;1;'2016-06-03 14:10:34';LC;;1;'2016-04-26 10:43:02';CC;;;;;;;;;;1;'2016-04-26 10:47:33';CC;;1;'2016-04-26 10:45:52';CC;;;;;;;;;;;;;;;;;;0;'2016-04-26 10:46:22';CC;;;;;;;;;;-1;;;;;;;
10;TESTNO;4;TRUE;TRUE;TRUE;1;CC;'2016-04-26 11:12:00';1;'2016-04-19';;1;1;1;7;WpC5h25gLtY=;qLkcgDpfzBQV26yeUuNeyQ==;/Z/KAAI4aUo=;2;14;1;'2016-05-25 15:28:37';LU;;1;'2016-04-26 11:18:23';CC;;1;'2016-04-26 11:16:10';CC;;;;;;;;;;1;'2016-04-26 11:20:41';CC;;1;'2016-04-26 11:18:44';CC;;;;;;;;;;;;;;;;;;1;'2016-05-25 15:29:02';LU;;;;;;;;;;1;'2016-07-08 14:41:51';LC;;;;;
23;TESTNO;6;TRUE;TRUE;TRUE;0;CC;'2016-04-29 13:38:12';0;'2016-04-28';;0;-1;-1;14;4xtcpYpkcO8=;7vjl+f2nxLk=;3VTAryeA1Z8=;2;11;;;;;1;'2016-04-29 13:42:19';CC;;1;'2016-04-29 13:39:49';CC;;;;;;;;;;-1;;;;1;'2016-04-29 13:43:04';CC;;;;;;;;;;;;;;0;;;;0;'2016-04-29 13:46:05';CC;;1;'2016-04-29 13:43:51';CC;;;;;;0;'2016-06-20 13:44:35';LU;;0;'2016-06-14 10:16:18';LC;
31;TESTNO;2;TRUE;TRUE;TRUE;1;CC;'2016-05-03 09:34:48';0;'2016-04-06';;-1;;;18;8Cs5MRqmcto=;GiSaKeYQev8=;S6Xl2qcq62VMceO11j5U9Q==;2;11;0;'2016-05-03 09:34:54';CC;;-1;;;;1;'2016-06-03 14:34:36';LC;;;;;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;-1;;;;;;;
35;TESTNO;4;TRUE;TRUE;TRUE;1;CC;'2016-05-03 11:06:38';1;'2016-05-01';;-1;-1;-1;20;RN57pPPHkfs=;30/HOpe5TJfNO6s3MrAKXw==;RvbaMpPCrl1QGfdZqrgHhQqKP3eZd25x;2;16;-1;;;;-1;;;;1;'2016-07-12 14:49:10';LC;Gjerne ikke rør, testcase i NSP-92. ;;;;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;;;;;0;'2016-07-06 09:03:47';LU;;;;;;;;;;1;'2016-08-04 15:09:36';LC;;;;;
36;TESTNO;6;TRUE;TRUE;TRUE;0;CC;'2016-05-03 12:55:00';0;'2016-05-03';;-1;-1;0;20;RN57pPPHkfs=;30/HOpe5TJfNO6s3MrAKXw==;RvbaMpPCrl1QGfdZqrgHhQqKP3eZd25x;2;16;;;;;0;'2016-05-03 13:26:16';SC;;0;'2016-06-03 13:55:54';LC;;;;;;;;;;0;'2016-05-25 12:59:14';RC;;0;'2016-05-03 13:26:21';SC;;;;;;;;;;;;;;0;;;;0;'2016-07-06 09:02:42';LU;;0;'2016-07-05 08:35:54';LC;;1;'2016-07-05 08:43:15';LC;;-1;;;;0;'2016-06-14 08:57:30';LC;
37;TESTNO;4;TRUE;TRUE;TRUE;1;CC;'2016-05-03 12:56:21';1;'2016-04-01';;-1;-1;-1;21;4CKpOIucT/s=;UkSWGttmyu8=;iNCCWi1INm0=;1;16;0;'2016-05-03 12:56:59';CC;;-1;;;;-1;;;;;;;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;-1;;;;;;;
38;TESTNO;6;TRUE;TRUE;TRUE;0;CC;'2016-05-03 12:58:09';0;'2016-04-16';;-1;-1;-1;21;4CKpOIucT/s=;UkSWGttmyu8=;iNCCWi1INm0=;1;16;;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;0;'2016-06-20 13:52:06';LU;;;;;;;;;;;;;;0;;;;-1;;;;-1;;;;-1;;;;-1;;;;-1;;;
40;TESTNO;4;TRUE;TRUE;TRUE;1;CC;'2016-05-03 13:22:58';1;'2016-04-06';;-1;-1;-1;23;1D+GLiVJBGQ=;xG0qi8znTeM=;Y1fqk3iUR7U2j68zb33j/g==;1;15;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;-1;;;;;;;
41;TESTNO;6;TRUE;TRUE;TRUE;0;CC;'2016-05-03 13:23:35';0;'2016-04-30';;-1;-1;0;23;1D+GLiVJBGQ=;xG0qi8znTeM=;Y1fqk3iUR7U2j68zb33j/g==;1;15;;;;;1;'2016-05-04 17:26:14';CC;;-1;;;;;;;;;;;;0;'2016-07-11 08:37:33';LC;;0;'2016-05-04 16:52:20';CC;21;;;;;;;;;;;;;0;'2016-05-25 13:00:29';RC;;0;'2016-07-11 08:40:43';LU;;0;'2016-05-04 16:03:02';CC;4;;;;;-1;;;;0;'2016-07-11 08:37:38';LC;
46;TESTNO;6;TRUE;TRUE;TRUE;1;LC;'2016-06-27 14:22:24';0;'2016-06-01';;-1;-1;-1;7;WpC5h25gLtY=;qLkcgDpfzBQV26yeUuNeyQ==;/Z/KAAI4aUo=;2;14;;;;;-1;;;;1;'2016-07-05 08:57:55';LC;;;;;;;;;;0;'2016-07-11 08:40:22';LU;;0;'2016-07-06 09:07:40';LU;;;;;;;;;;;;;;-1;;;;0;'2016-07-11 08:40:16';LU;;1;'2016-07-05 08:42:46';LC;;;;;;-1;;;;1;'2016-07-11 09:12:24';LC;
51;TESTNO;2;TRUE;TRUE;TRUE;1;LC;'2016-05-24 09:20:25';0;'2016-05-02';;-1;-1;-1;28;0haOOh97tQw=;4Wln1mTM4BmQUbF34BoFNA==;oNHIqzXKHko=;2;14;0;'2016-05-24 09:20:40';LC;;-1;;;;1;'2016-05-24 09:21:07';LC;;;;;;;;;;1;'2016-07-04 14:29:58';LU;;-1;;;;;;;;;;;;;;;;0;;;;-1;;;;;;;;;;;;0;'2016-05-24 09:21:31';LC;;;;;
84;TESTNO2;4;TRUE;;;1;LC2;'2016-06-17 13:42:13';0;'2016-06-01';;0;0;0;54;l1QCuTpCKZI=;dKdEO6yfYxc=;Plikz5HEXYQ=;2;18;0;'2016-06-24 10:25:00';LU2;;0;'2016-06-24 10:27:18';LU2;;0;'2016-06-24 10:25:07';LU2;;;;;;;;;;0;'2016-06-24 10:24:30';LU2;;0;'2016-06-24 10:27:23';LU2;;;;;;;;;;;;;;;;;;1;'2016-06-17 13:55:17';LC2;;;;;;;;;;0;'2016-06-24 10:25:11';LU2;;;;;
86;TESTNO2;4;TRUE;;;1;LC2;'2016-06-17 14:14:28';0;'2016-05-30';;0;0;1;56;BwCwaeqzUoI=;jGCYH9CrcR8=;AWa70p9umLc=;2;17;1;'2016-07-07 10:21:30';LC2;;1;'2016-07-07 10:23:18';LC2;;1;'2016-07-07 10:21:56';LC2;;;;;;;;;;1;'2016-07-07 10:24:41';LC2;;1;'2016-07-07 10:23:36';LC2;;;;;;;;;;;;;;;;;;1;'2016-06-17 14:22:24';LC2;;;;;;;;;;0;'2016-07-07 10:22:19';LC2;;;;;
96;TESTNO;4;TRUE;TRUE;TRUE;1;LU;'2016-06-28 10:30:28';0;'2016-05-25';;-1;-1;0;65;LZlrLhXgXYI=;DzE7lk7UksucGyhDtD+OL6ES2G1hgVs8;xygtoUyvkKo=;1;58;0;'2016-06-28 10:30:36';LU;;-1;;;;-1;;;;;;;;;;;;0;'2016-07-06 09:05:02';LU;;-1;;;;;;;;;;;;;;;;;;;;0;'2016-07-06 09:04:11';LU;;;;;;;;;;-1;;;;;;;
101;TESTNO;4;TRUE;TRUE;TRUE;1;LC;'2016-06-28 14:54:30';1;'2016-05-05';;0;0;1;70;sE+8p/Sds+Q=;jWJYjBtlaPg=;c+bO7FtIwS0=;2;11;0;'2016-06-29 10:16:35';CC;;1;'2016-06-28 15:02:49';LC;;1;'2016-06-28 15:01:02';LC;;;;;;;;;;1;'2016-06-28 15:07:14';LC;;1;'2016-06-28 15:02:55';LC;;;;;;;;;;;;;;;;;;1;'2016-06-28 15:06:08';LC;;;;;;;;;;0;'2016-06-28 15:02:42';LC;;;;;
102;TESTNO;6;TRUE;TRUE;TRUE;1;CC;'2016-06-28 15:12:22';0;'2016-06-28';;0;0;0;70;sE+8p/Sds+Q=;jWJYjBtlaPg=;c+bO7FtIwS0=;2;12;;;;;1;'2016-06-28 15:15:45';LC;;1;'2016-06-28 15:14:29';LC;;;;;;;;;;1;'2016-06-28 15:33:43';LC;;1;'2016-06-28 15:15:52';LC;;;;;;;;;;;;;;0;'2016-06-28 15:27:47';LC;;1;'2016-06-28 15:26:51';LC;;1;'2016-06-28 15:16:55';LC;;;;;;0;'2016-06-28 15:15:40';LC;;1;'2016-07-11 09:44:08';LC;Skjemaet er eksempel i NSP-163. 
134;TESTNO2;4;TRUE;;;1;LU2;'2016-07-06 09:10:11';0;'2016-07-06';;0;0;1;92;xGHyte7QdC8=;BHj9KwfPcT0=;KO/GnF1CEcM=;2;15;1;'2016-07-06 09:13:06';LU2;;1;'2016-07-06 09:16:54';LU2;;1;'2016-07-06 09:12:45';LU2;;;;;;;;;;1;'2016-07-06 09:23:50';LU2;;1;'2016-07-06 09:21:22';LU2;;;;;;;;;;;;;;;;;;1;'2016-07-06 09:22:11';LU2;;;;;;;;;;0;'2016-07-06 09:14:10';LU2;;;;;
149;TESTNO;4;TRUE;TRUE;TRUE;1;LC;'2016-07-11 11:21:10';0;'2016-02-07';;-1;-1;-1;103;suLgGNAjotk=;P27mYbH+pxDLakEjdyOH+Q==;sWRoPviiVJap6LY6cYihPw==;2;14;0;'2016-07-11 11:22:00';LC;;-1;;;;-1;;;;;;;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;-1;;;;;;;
150;TESTNO;2;TRUE;TRUE;TRUE;1;LC;'2016-07-11 11:23:20';0;'2016-01-16';;-1;-1;-1;104;4wAUzIfcW5A=;x3Eb93IqUF4=;89KEHvyzuPIsNrG+h/8tkA==;2;14;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;
151;TESTNO;2;TRUE;TRUE;TRUE;1;LC;'2016-07-11 11:25:16';0;'2016-07-01';;-1;-1;-1;105;0JO13WW8LJk=;wPNib/DVrrdMT2zq3TXPIFrrMvNIHqfD;OY2VLiywARndtWMHj/oA3g==;2;15;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;
152;TESTNO;4;TRUE;TRUE;TRUE;1;LU;'2016-07-12 12:21:08';0;'2016-07-08';;-1;-1;-1;106;mXcq563yFfE=;Mdpep0+jkXkWPL33KEkZZQ==;n9qA1k9Cwjn6J6URbaAIgRCE13AkUhBS;1;36;0;'2016-07-12 12:21:29';LU;;-1;;;;-1;;;;;;;;;;;;0;'2016-07-12 12:23:00';LU;;0;'2016-07-12 12:21:33';LU;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;-1;;;;;;;
162;TESTNO;4;TRUE;TRUE;TRUE;1;LU;'2016-07-12 12:59:22';0;'2016-07-06';;-1;-1;-1;116;J49mfNMURa4=;+yxQU0sjgD0zIHnDHZtkOw==;fmimGnysVRI=;1;57;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;0;'2016-07-12 12:59:37';LU;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;-1;;;;;;;
163;TESTNO;4;TRUE;TRUE;TRUE;1;LU;'2016-07-12 13:00:22';0;'2016-07-06';;-1;-1;-1;117;fDHq7icNtzQ=;WLp391++70E=;p87hJs+O1z4EhU3pt4jyxTZWe8uV/y7R;2;57;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;0;'2016-07-12 13:00:32';LU;;;;;;;;;;;;;;;;;;0;'2016-07-12 13:00:35';LU;;;;;;;;;;-1;;;;;;;
164;TESTNO;4;TRUE;TRUE;TRUE;1;LU;'2016-07-12 13:02:07';0;'2016-07-06';;-1;-1;-1;118;LsS/8HzaPBg=;IjwowAEfsFZiV0u+JI2QoQ==;c2swIIGzNurrCGyqUdM1HQ==;2;12;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;0;'2016-07-12 13:02:13';LU;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;-1;;;;;;;
153;TESTNO2;4;TRUE;;;1;LU2;'2016-07-12 12:24:11';0;'2016-07-08';;-1;-1;1;107;M1M6ZX8B970=;1fl2IMImMC4=;SWnT/qCml3I=;1;29;-1;;;;-1;;;;-1;;;;;;;;;;;;;;;;0;'2016-07-12 12:26:02';LU2;;;;;;;;;;;;;;;;;;1;'2016-07-12 12:24:40';LU2;;;;;;;;;;-1;;;;;;;
155;TESTNO3;4;;;;1;LU3;'2016-07-12 12:28:27';0;'2016-07-08';;-1;-1;1;109;ej1EKF4V6J0=;nFnsbJPRfOI=;7JRPF6DoMuACamgBZUgIBQ==;1;23;-1;;;;0;'2016-07-12 12:30:14';LU3;;-1;;;;;;;;;;;;;;;;0;'2016-08-11 15:12:24';LU3;;;;;;;;;;;;;;;;;;1;'2016-07-12 12:30:53';LU3;;;;;;;;;;-1;;;;;;;
156;TESTNO3;4;;;;1;LU3;'2016-07-12 12:31:41';0;'2016-07-08';;-1;-1;1;110;sM1X0Yvfw3E=;u6hotSTZa3U=;DxBe67A9rlk9aAWkV+ljlg==;1;85;-1;;;;-1;;;;-1;;;;;;;;;;;;;;;;0;'2016-08-11 15:13:07';LU3;;;;;;;;;;;;;;;;;;1;'2016-08-11 15:13:41';LU3;;;;;;;;;;-1;;;;;;;
165;TESTNO2;4;TRUE;;;1;LU2;'2016-07-12 13:03:55';0;'2016-07-08';;-1;-1;0;119;9ie5gnx3i8I=;X1+HgS2Dc1qlh2G5Qmb1Qw==;yAH54VIozHA=;1;40;-1;;;;-1;;;;-1;;;;;;;;;;;;;;;;0;'2016-07-12 13:04:44';LU2;;;;;;;;;;;;;;;;;;0;'2016-07-12 13:04:47';LU2;;;;;;;;;;-1;;;;;;;
167;TESTNO2;4;TRUE;;;1;LU2;'2016-07-12 13:15:41';0;'2016-07-11';;-1;-1;0;107;M1M6ZX8B970=;1fl2IMImMC4=;SWnT/qCml3I=;1;29;-1;;;;-1;;;;-1;;;;;;;;;;;;;;;;0;'2016-07-12 13:16:59';LU2;;;;;;;;;;;;;;;;;;0;'2016-07-12 13:16:12';LU2;;;;;;;;;;-1;;;;;;;
22;TESTNO;4;TRUE;TRUE;TRUE;1;CC;'2016-04-29 13:26:13';1;'2016-01-20';;-1;-1;0;14;4xtcpYpkcO8=;7vjl+f2nxLk=;3VTAryeA1Z8=;2;10;1;'2016-04-29 13:27:18';CC;;1;'2016-04-29 13:33:51';CC;;;;;;1;'2016-04-29 13:30:26';CC;;;;;;1;'2016-04-29 13:36:53';CC;;1;'2016-04-29 13:34:35';CC;;;;;;;;;;;;;;;;;;0;'2016-04-29 13:35:42';CC;;;;;;;;;;-1;;;;;;;
30;TESTNO;2;TRUE;TRUE;TRUE;1;CC;'2016-05-03 08:53:54';0;'2016-04-20';;-1;;;17;q7tNz9g9oYo=;NAkJR7xVVCmKPh+Mi8RQEw==;7PEB0UffdTQ=;1;9;0;'2016-06-22 14:30:48';LU;;0;'2016-05-03 08:54:45';CC;;;;;;-1;;;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;;;;;0;'2016-06-22 14:30:28';LU;;;;;;;;;;0;'2016-06-22 14:30:51';LU;;;;;
32;TESTNO;4;TRUE;TRUE;TRUE;1;CC;'2016-05-03 10:33:28';1;'2016-05-02';;-1;-1;-1;19;WDBmsoxXkHE=;1THChUVRRug=;3hckKj1E03o=;1;7;1;'2016-07-18 17:03:10';LU;;1;'2016-06-03 14:13:11';LC;;;;;;1;'2016-07-05 08:55:15';LC;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;-1;;;;;;;
34;TESTNO;6;TRUE;TRUE;TRUE;0;CC;'2016-05-03 11:02:40';0;'2016-05-03';;-1;-1;0;19;WDBmsoxXkHE=;1THChUVRRug=;3hckKj1E03o=;1;7;;;;;-1;;;;;;;;1;'2016-06-02 17:09:33';LC;;;;;;1;'2016-06-02 13:44:29';LC;;-1;;;;;;;;;;;;;;;;0;'2016-07-04 10:02:38';LC;;1;'2016-06-28 14:47:44';LC;;1;'2016-05-25 15:24:19';LC;;;;;;0;'2016-06-03 16:31:20';LC;5;0;'2016-07-14 15:42:35';LC;
64;TESTNO;2;TRUE;TRUE;TRUE;1;LU;'2016-06-09 09:00:20';0;'2016-06-09';;-1;-1;-1;38;J+yh1xg04Z4=;fnyBD5v1pS8=;25QJPulPq/e99ZaCU5nV+A==;1;9;0;'2016-06-09 09:01:11';LU;;-1;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;
65;TESTNO;4;TRUE;TRUE;TRUE;1;LU;'2016-06-09 09:02:36';0;'2016-06-09';;0;0;1;39;y+BQDooBocQ=;fnyBD5v1pS8=;25QJPulPq/e99ZaCU5nV+A==;2;3;0;'2016-07-04 09:48:44';LC;;0;'2016-07-04 09:49:03';LC;;;;;;0;'2016-07-04 09:48:49';LC;;;;;;1;'2016-07-06 09:01:08';LU;;0;'2016-07-04 09:52:07';LC;;;;;;;;;;;;;;;;;;1;'2016-07-04 10:02:00';LC;;;;;;;;;;0;'2016-07-04 09:48:54';LC;;;;;
69;TESTNO;4;TRUE;TRUE;TRUE;1;LU;'2016-06-10 08:56:35';0;'2016-06-10';;-1;-1;-1;41;65jqr1y+yBM=;3LRAJEhqZ8ox4VjcZ6Tpzg==;W7UJPRbM5ZZlgOiUeczdYg==;2;3;-1;;;;-1;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;;;;;0;'2016-06-10 10:46:20';LU;;;;;;;;;;-1;;;;;;;
70;TESTNO;4;TRUE;TRUE;TRUE;1;LU;'2016-06-10 10:53:14';0;'2016-06-09';;-1;-1;0;42;wBZsQZlaKcc=;R4Brg+kjzAVvv6biZIaxdA==;hqNNNR52YjE=;2;2;-1;;;;-1;;;;;;;;1;'2016-07-12 16:17:14';LC;Gjerne ikke rør, testcase i NSP-92.;;;;;0;'2016-07-06 09:06:35';LU;;0;'2016-07-06 09:06:08';LU;;;;;;;;;;;;;;;;;;0;'2016-07-06 09:06:18';LU;;;;;;;;;;-1;;;;;;;
71;TESTNO;4;TRUE;TRUE;TRUE;1;LU;'2016-06-10 11:07:53';1;'2016-06-10';;-1;-1;-1;43;H9Qv2RMpDw0=;eYIFvHdqeXalxgVC9j6WgA==;oOlQI6pisro=;2;3;-1;;;;-1;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;-1;;;;;;;
72;TESTNO;4;TRUE;TRUE;TRUE;1;LU;'2016-06-14 09:43:40';0;'2016-06-14';;-1;-1;-1;44;7xEgdWMF+iQ=;vPKUz8CJpHA=;bNINxSPiDWI=;2;2;-1;;;;-1;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;;;;;0;'2016-06-14 11:18:04';LU;;;;;;;;;;-1;;;;;;;
76;TESTNO;4;TRUE;TRUE;TRUE;1;LC;'2016-07-01 10:23:55';0;'2016-05-25';;0;-1;-1;44;7xEgdWMF+iQ=;vPKUz8CJpHA=;bNINxSPiDWI=;2;2;0;'2016-07-01 10:24:35';LC;;0;'2016-07-01 10:24:46';LC;;;;;;0;'2016-07-01 10:24:39';LC;;;;;;-1;;;;0;'2016-07-01 10:24:48';LC;;;;;;;;;;;;;;;;;;0;'2016-07-01 10:24:51';LC;;;;;;;;;;0;'2016-07-01 10:24:43';LC;;;;;
77;TESTNO;6;TRUE;TRUE;TRUE;1;LU;'2016-06-14 15:16:05';0;'2016-06-14';;-1;-1;-1;43;H9Qv2RMpDw0=;eYIFvHdqeXalxgVC9j6WgA==;oOlQI6pisro=;2;3;;;;;0;'2016-06-14 15:32:49';LU;1;;;;;1;'2016-06-14 15:16:55';LU;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;0;'2016-06-14 15:19:33';LU;;1;'2016-06-14 15:20:05';LU;;-1;;;;;;;;0;'2016-06-14 15:31:33';LU;;0;'2016-06-14 15:30:49';LU;
78;TESTNO;4;TRUE;TRUE;TRUE;1;LU;'2016-06-15 11:21:38';0;'2015-03-13';;-1;-1;-1;48;3cBDNlj7g2g=;XKrUmiuh4tg=;NpC4HwUTuSs=;1;4;-1;;;;-1;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;;;;;0;'2016-06-15 11:33:36';LU;;;;;;;;;;-1;;;;;;;
121;TESTNO3;2;;;;1;LC3;'2016-07-04 09:17:59';0;'2016-06-29';;-1;-1;-1;85;DIr5Xb8DnWA=;VwAVz8GiXzo0c47dwleeAQ==;BhhsgoL0d1E=;1;7;-1;;;;-1;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;0;'2016-07-04 09:20:46';LC3;;-1;;;;;;;;;;;;-1;;;;;;;
141;TESTNO3;4;;;;1;LC3;'2016-07-07 12:20:45';1;'2016-05-19';;0;0;1;97;AEIZ8FHbQiA=;G8pKwQW3vtI=;xmh/DwQyG/4=;2;9;1;'2016-07-07 12:21:34';LC3;;1;'2016-07-07 12:22:31';LC3;;;;;;1;'2016-07-07 12:22:02';LC3;;;;;;1;'2016-07-07 12:25:21';LC3;;1;'2016-07-07 12:23:23';LC3;;;;;;;;;;;;;;;;;;1;'2016-07-07 12:24:36';LC3;;;;;;;;;;0;'2016-07-07 12:22:23';LC3;;;;;
142;TESTNO3;6;;;;1;LC3;'2016-07-07 12:24:03';0;'2016-07-01';;-1;-1;-1;97;AEIZ8FHbQiA=;G8pKwQW3vtI=;xmh/DwQyG/4=;2;9;;;;;-1;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;;;;;;;;;;;;;-1;;;;-1;;;;-1;;;;;;;;-1;;;;-1;;;
175;TESTNO3;4;;;;1;LU3;'2016-08-11 15:30:18';0;'2016-08-11';;-1;-1;-1;123;c1GDCdAYgBc=;ytJ60FnicMqA7CXqJcBeQnpjRiYk44X0;XUWiZRH3ppqb/AZP5XIn5G76t+NOtMbx;2;9;-1;;;;-1;;;;;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;-1;;;;;;;
177;TESTNO2;4;TRUE;;;1;LU2;'2016-08-11 15:33:41';0;'2016-08-10';;-1;-1;-1;125;lGSyY2OH2mk=;slNV7t/rmDNRcxQJJGHPrA==;Yf5YyhfTEK4=;2;7;-1;;;;-1;;;;;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;-1;;;;;;;
18;TESTNO;99;TRUE;TRUE;TRUE;1;CC;'2016-04-29 10:38:38';0;'2016-04-28';;1;0;0;5;ITPDEX33umM=;pkAmRMv5kGE=;3Nb1loECABc=;1;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;'2016-07-14 12:50:38';LC;
33;TESTNO;99;TRUE;TRUE;TRUE;1;CC;'2016-05-04 15:49:03';0;'2016-05-04';;1;0;0;7;WpC5h25gLtY=;qLkcgDpfzBQV26yeUuNeyQ==;/Z/KAAI4aUo=;2;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;'2016-06-15 09:24:57';LC;;;;;;;;;;;;;;;;;;1;'2016-07-11 09:12:47';LC;
116;TESTNO;0;TRUE;TRUE;TRUE;0;;'2016-07-01 08:53:26';0;;;-1;-1;-1;8;wTcd9ng7z0c=;8iClNhCEqKckgnpV9yfKmg==;VJ2u/nYZxao=;2;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
